iter	Passed	Remaining
1522	16924	3178
1523	16934	3166
1524	16947	3156
1525	16957	3144
1526	16968	3133
1527	16979	3122
1528	16989	3111
1529	16999	3099
1530	17009	3088
1531	17020	3077
1532	17030	3066
1533	17040	3054
1534	17051	3043
1535	17062	3032
1536	17072	3021
1537	17083	3010
1538	17093	2998
1539	17102	2987
1540	17114	2976
1541	17125	2965
1542	17134	2953
1543	17143	2942
1544	17152	2930
1545	17162	2919
1546	17172	2908
1547	17182	2897
1548	17192	2885
1549	17208	2875
1550	17220	2864
1551	17231	2853
1552	17242	2842
1553	17251	2830
1554	17264	2820
1555	17276	2809
1556	17286	2797
1557	17297	2786
1558	17308	2775
1559	17320	2764
1560	17331	2753
1561	17342	2742
1562	17352	2731
1563	17362	2719
1564	17373	2708
1565	17384	2697
1566	17395	2686
1567	17405	2675
1568	17416	2664
1569	17427	2652
1570	17438	2641
1571	17449	2630
1572	17460	2619
1573	17470	2608
1574	17482	2597
1575	17494	2586
1576	17504	2575
1577	17515	2563
1578	17525	2552
1579	17536	2541
1580	17546	2530
1581	17559	2519
1582	17570	2508
1583	17582	2497
1584	17594	2486
1585	17604	2475
1586	17616	2464
1587	17627	2453
1588	17639	2442
1589	17653	2431
1590	17664	2420
1591	17675	2409
1592	17685	2398
1593	17696	2386
1594	17707	2375
1595	17718	2364
1596	17731	2353
1597	17743	2342
1598	17754	2331
1599	17765	2320
1600	17776	2309
1601	17786	2298
1602	17797	2287
1603	17808	2275
1604	17820	2265
1605	17832	2254
1606	17843	2242
1607	17854	2231
1608	17865	2220
1609	17874	2209
1610	17885	2198
1611	17895	2186
1612	17906	2175
1613	17918	2164
1614	17929	2153
1615	17941	2142
1616	17953	2131
1617	17964	2120
1618	17981	2110
1619	17993	2099
1620	18004	2088
1621	18015	2076
1622	18026	2065
1623	18035	2054
1624	18046	2043
1625	18057	2032
1626	18066	2020
1627	18076	2009
1628	18089	1998
1629	18100	1987
1630	18109	1976
1631	18118	1965
1632	18129	1953
1633	18139	1942
1634	18150	1931
1635	18162	1920
1636	18187	1910
1637	18202	1900
1638	18216	1889
1639	18228	1878
1640	18242	1867
1641	18254	1856
1642	18268	1845
1643	18283	1834
1644	18294	1823
1645	18306	1812
1646	18317	1801
1647	18328	1790
1648	18338	1779
1649	18348	1768
1650	18359	1756
1651	18371	1745
1652	18380	1734
